filename,ifupdate,gen_sequence,gen_score,best_sequence,best_score
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/53_1495.ll,False,"['module(scc-oz-module-inliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(attributor)', 'cgscc(attributor-cgscc)', 'function(newgvn)']",0.06666666666666667,"['module(scc-oz-module-inliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(attributor)', 'cgscc(attributor-cgscc)', 'function(newgvn)']",0.06666666666666667
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/94_183.ll,False,"['module(scc-oz-module-inliner)', 'module(iroutliner)', 'function(reassociate)', 'function(gvn-hoist)', 'function(mem2reg)', 'module(elim-avail-extern)', 'module(iroutliner)', 'function(dse)', 'module(globalopt)']",0.0,"['module(scc-oz-module-inliner)', 'module(iroutliner)', 'function(reassociate)', 'function(gvn-hoist)', 'function(mem2reg)', 'module(elim-avail-extern)', 'module(iroutliner)', 'function(dse)', 'module(globalopt)']",0.0
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/7_1103.ll,False,"['module(scc-oz-module-inliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(attributor)', 'cgscc(attributor-cgscc)', 'function(newgvn)']",0.02564102564102564,"['module(scc-oz-module-inliner)', 'module(attributor)', 'module(scc-oz-module-inliner)', 'module(attributor)', 'cgscc(attributor-cgscc)', 'function(newgvn)']",0.02564102564102564
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/51_225.ll,False,"['module(scc-oz-module-inliner)', 'function(newgvn)', 'function(gvn-hoist)', 'function(memcpyopt)', 'module(attributor)', 'module(scc-oz-module-inliner)']",0.0136986301369863,"['module(scc-oz-module-inliner)', 'function(newgvn)', 'function(gvn-hoist)', 'function(memcpyopt)', 'module(attributor)', 'module(scc-oz-module-inliner)']",0.0136986301369863
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/27_1839.ll,False,"['module(inferattrs)', 'module(scc-oz-module-inliner)', 'module(elim-avail-extern)', 'cgscc(attributor-cgscc)', 'module(scc-oz-module-inliner)', 'function(dce)', 'function(gvn-hoist)', 'function(instsimplify)', 'function(memcpyopt)', 'function(reassociate)']",0.020833333333333332,"['module(inferattrs)', 'module(scc-oz-module-inliner)', 'module(elim-avail-extern)', 'cgscc(attributor-cgscc)', 'module(scc-oz-module-inliner)', 'function(dce)', 'function(gvn-hoist)', 'function(instsimplify)', 'function(memcpyopt)', 'function(reassociate)']",0.020833333333333332
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/27_801.ll,False,"['module(attributor)', 'module(scc-oz-module-inliner)', 'function(dse)', 'module(iroutliner)', 'function(gvn-sink)', 'module(globalopt)', 'function(mem2reg)', 'function(gvn-sink)']",0.02857142857142857,"['module(attributor)', 'module(scc-oz-module-inliner)', 'function(dse)', 'module(iroutliner)', 'function(gvn-sink)', 'module(globalopt)', 'function(mem2reg)', 'function(gvn-sink)']",0.02857142857142857
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/71_760.ll,False,"['module(scc-oz-module-inliner)', 'module(elim-avail-extern)', 'cgscc(attributor-cgscc)', 'module(iroutliner)', 'module(attributor)', 'function(newgvn)']",0.0,"['module(scc-oz-module-inliner)', 'module(elim-avail-extern)', 'cgscc(attributor-cgscc)', 'module(iroutliner)', 'module(attributor)', 'function(newgvn)']",0.0
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/15_1322.ll,False,"['module(scc-oz-module-inliner)', 'module(elim-avail-extern)', 'cgscc(attributor-cgscc)', 'module(iroutliner)', 'module(attributor)', 'function(newgvn)']",-0.017699115044247787,"['module(scc-oz-module-inliner)', 'module(elim-avail-extern)', 'cgscc(attributor-cgscc)', 'module(iroutliner)', 'module(attributor)', 'function(newgvn)']",-0.017699115044247787
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/97_466.ll,False,"['function(jump-threading)', 'function(newgvn)', 'function(gvn-sink)', 'function(jump-threading)', 'function(dse)', 'module(attributor)', 'function(memcpyopt)', 'cgscc(attributor-cgscc)']",0.14285714285714285,"['function(jump-threading)', 'function(newgvn)', 'function(gvn-sink)', 'function(jump-threading)', 'function(dse)', 'module(attributor)', 'function(memcpyopt)', 'cgscc(attributor-cgscc)']",0.14285714285714285
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/84_507.ll,False,"['module(scc-oz-module-inliner)', 'module(elim-avail-extern)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'function(dce)', 'module(iroutliner)', 'function(jump-threading)', 'function(memcpyopt)']",-0.020833333333333332,"['module(scc-oz-module-inliner)', 'module(elim-avail-extern)', 'module(globalopt)', 'function(gvn-sink)', 'function(newgvn)', 'function(dce)', 'module(iroutliner)', 'function(jump-threading)', 'function(memcpyopt)']",-0.020833333333333332
/root/iscas/ruyituner/dataset21/poj104-v2-ll_4/train/5_595.ll,False,"['module(scc-oz-module-inliner)', 'function(instsimplify)', 'function(jump-threading)', 'function(reassociate)', 'function(memcpyopt)', 'function(dse)', 'module(attributor)', 'function(newgvn)', 'function(mem2reg)', 'function(gvn-sink)', 'module(iroutliner)', 'function(reassociate)']",0.0,"['module(scc-oz-module-inliner)', 'function(instsimplify)', 'function(jump-threading)', 'function(reassociate)', 'function(memcpyopt)', 'function(dse)', 'module(attributor)', 'function(newgvn)', 'function(mem2reg)', 'function(gvn-sink)', 'module(iroutliner)', 'function(reassociate)']",0.0
